transaction_id,date,amount,category,description,account_type,payment_method
1001,2025-05-01,45.67,Groceries,Walmart Supermarket,Checking,Debit Card
1002,2025-05-02,9.99,Entertainment,Netflix Subscription,Credit,Credit Card
1003,2025-05-03,35.50,Dining,Dinner at Italian Restaurant,Credit,Credit Card
1004,2025-05-05,120.00,Utilities,Electricity Bill Payment,Checking,Bank Transfer
1005,2025-05-07,67.82,Shopping,Amazon Purchase - Electronics,Credit,Credit Card
1006,2025-05-10,25.99,Groceries,Kroger Supermarket,Checking,Debit Card
1007,2025-05-12,150.00,Housing,Maintenance Fee,Checking,Bank Transfer
1008,2025-05-14,12.50,Dining,Lunch at Food Court,Credit,Credit Card
1009,2025-05-16,40.00,Transportation,Gas Station,Credit,Credit Card
1010,2025-05-18,22.99,Entertainment,Movie Theater Tickets,Credit,Credit Card
1011,2025-05-20,85.45,Groceries,Wholesale Club,Checking,Debit Card
1012,2025-05-22,18.75,Personal Care,Pharmacy Purchase,Credit,Credit Card
1013,2025-05-24,65.00,Healthcare,Doctor's Visit Copay,Checking,Debit Card
1014,2025-05-26,29.99,Entertainment,Online Video Game Purchase,Credit,Credit Card
1015,2025-05-28,42.30,Dining,Family Dinner at Restaurant,Credit,Credit Card
